# Standard errors (SEM, "m" from M±m) for Group II, dissertation tables (1998).
# Aligned point-for-point with group2.csv (t=0 is state M; deltas are from M).
# VERIFIED against boyarchuk_analytical_summary.md (clean tables 5, 5.7/AP, 7a).
# Source rows:
#   recalc/thrombin/fib/xiii  -> Table 5 (hemostasis G2)
#   acid_phosphatase          -> Table 5.7 (AP row, G2)
#   degranulation             -> Table 7a, "більше 30 лізосом, %" row (G2);
#     CSV degranulation = -(delta of ">30 lysosomes %"), SE from that row.
# t=0 (state M) is the delta reference point, SE=0 (like G1 baseline).
# NOTE: SEM (precision of the mean), not SD.
time_d,recalc_se,thrombin_se,fib_se,xiii_se,acid_phosphatase_se,degranulation_se
0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.38,0.31,5.71,3.76,0.022,0.92
2,1.35,0.52,5.38,2.51,0.047,2.10
3,8.65,0.37,2.64,4.09,0.053,2.43
4,5.51,0.55,3.32,2.15,0.057,1.59
5,1.57,0.54,2.08,1.30,0.052,4.20
6,1.48,0.36,2.85,1.27,0.031,4.70
7,0.21,0.11,0.92,1.01,0.040,8.71
8,0.71,0.07,1.08,1.33,0.039,2.84
