# Group II (suppressed granulocytopoiesis: myelosan pre-treatment + "Эфа-2" 8330 mg/kg)
# Myelosan protocol: 10 mg/day for 5-7 days + 4 mg/day for 8 days (Boyarchuk commentary).
# Effect: ~40-50% reduction in peripheral neutrophils before "Эфа-2" challenge.
# All hemostatic and neutrophil-activity columns are DELTAS from baseline (t=0).
# Neutrophil count is ABSOLUTE (10^9/L). Note: baseline N already suppressed (3.9 vs 7.3 in G1).
# Source: Boyarchuk dissertation (1998), tables 4.9, 5.1, 5.2, 5.3, 5.5, 5.7, 5.9 (group II).
# Significant portion of G2 data is unpublished — see archive/v12/README.md and PROVENANCE.md.
time_d,recalc_delta_s,thrombin_delta_s,fib_delta_mg_dl,fxiii_delta_pct,acid_phosphatase_delta_BO,degranulation_delta_pct,neutrophils_10_9_per_L
0,0.0,0.0,0.0,0.0,0.00,0.0,3.90
1,-29.3,-5.1,6.7,12.8,0.12,8.3,3.65
2,-23.3,-4.4,21.8,10.2,0.22,18.6,3.78
3,1.5,-2.1,9.5,2.5,0.33,23.7,3.40
4,9.1,-0.2,-9.6,-9.3,0.30,24.6,3.20
5,6.7,1.3,-3.9,-4.9,0.25,27.3,3.30
6,-0.1,0.5,3.9,2.0,0.20,29.6,3.50
7,-0.3,0.2,1.2,1.8,0.14,19.7,3.58
8,-0.5,-0.1,0.8,1.5,0.07,1.8,3.73
